Date,Actual Units Sold,Predicted Units Sold
2023-08-10,13028,12888.82994201749
2023-08-11,12414,13906.170184555414
2023-08-12,12124,12862.681080137832
2023-08-13,13944,14098.697576398681
2023-08-14,16190,14612.816175811973
2023-08-15,11593,12887.385427019433
2023-08-16,12494,13342.455345533901
2023-08-17,12826,13370.779647495607
2023-08-18,14330,13650.863289254634
2023-08-19,13443,13203.345992786511
2023-08-20,13571,13652.05022098477
2023-08-21,11752,12760.815915658433
2023-08-22,12266,13215.331908352635
2023-08-23,15476,14415.46862568744
2023-08-24,14312,14212.655638095037
2023-08-25,12582,13227.07163053137
2023-08-26,12686,13194.883359402813
2023-08-27,14612,13785.472503933835
2023-08-28,12869,14520.893816849593
2023-08-29,12386,12407.442653927232
2023-08-30,13614,12402.771066382338
2023-08-31,12392,13469.185637335353
2023-09-01,12972,13331.970869927245
2023-09-02,14008,13543.856499815378
2023-09-03,14148,14763.041539077303
2023-09-04,11750,13000.947259263643
2023-09-05,13368,13380.625309474297
2023-09-06,14666,14361.78152686677
2023-09-07,14129,13241.122953692227
2023-09-08,12614,13733.453319697957
2023-09-09,14076,13043.075039268979
2023-09-10,13912,13448.997330310995
2023-09-11,13698,13251.167898466165
2023-09-12,14469,12890.324662066096
2023-09-13,14447,14881.134312440665
2023-09-14,13573,14072.89310919474
2023-09-15,13267,12920.866277298
2023-09-16,14833,14108.165888904645
2023-09-17,12137,13929.898021179608
2023-09-18,12376,12418.347404714159
2023-09-19,13852,13727.204646961725
2023-09-20,12567,13278.870952771966
2023-09-21,13667,13725.636317323577
2023-09-22,12445,12954.197841788819
2023-09-23,13000,13067.522448094076
2023-09-24,15084,14660.200415217701
2023-09-25,12328,12747.955671541447
2023-09-26,14408,14165.537318647479
2023-09-27,12137,12692.658659359102
2023-09-28,11474,13929.564444526672
2023-09-29,15660,13972.517581810876
2023-09-30,14296,14353.2613429165
2023-10-01,14212,14261.601059441058
2023-10-02,12577,13444.842844780775
2023-10-03,13278,13706.161116781483
2023-10-04,14580,13293.653971488862
2023-10-05,13340,13213.152764664948
2023-10-06,13890,14048.694373497101
2023-10-07,13104,13514.117351160212
2023-10-08,12100,12575.281316010054
2023-10-09,12290,13115.005153184762
2023-10-10,13245,13143.366115799985
2023-10-11,13262,12937.475493489706
2023-10-12,14019,14102.194235198947
2023-10-13,13153,13728.412175173005
2023-10-14,13854,15040.47458815465
2023-10-15,13414,14006.805254093704
2023-10-16,12758,13741.802827854148
2023-10-17,15804,15250.327281626762
2023-10-18,13066,13178.510349854592
2023-10-19,14936,14522.567008708027
2023-10-20,16770,15010.589636679477
2023-10-21,14950,14120.149904921362
2023-10-22,13870,12980.201232128938
2023-10-23,13758,13654.068949568267
2023-10-24,13493,13568.298641260384
2023-10-25,14234,13612.434985067108
2023-10-26,13560,14878.667371465937
2023-10-27,12542,13279.678317333668
2023-10-28,14890,14447.991144275617
2023-10-29,14165,13925.427821710387
2023-10-30,13752,13393.902244090988
2023-10-31,12780,13852.008622245936
2023-11-01,13679,13159.289169924738
2023-11-02,13884,14047.401214802629
2023-11-03,12977,13612.980008240205
2023-11-04,14549,14436.027559558072
2023-11-05,14400,13743.575014575845
2023-11-06,13323,12985.496706022166
2023-11-07,13015,14506.306532307082
2023-11-08,12883,13194.76504009367
2023-11-09,12806,13119.423302517689
2023-11-10,14567,13726.55977095216
2023-11-11,14633,12953.426597123133
2023-11-12,13585,13673.025130353375
2023-11-13,13590,13934.665488523688
2023-11-14,13684,12902.321857662257
2023-11-15,14084,14081.853214380306
2023-11-16,13784,13538.017339531656
2023-11-17,12641,12496.178716900664
2023-11-18,14554,13337.753797645857
2023-11-19,12949,13303.805897688877
2023-11-20,14683,14110.460390172955
2023-11-21,13383,13398.27813277493
2023-11-22,14412,14426.875034162864
2023-11-23,13961,15440.782059319368
2023-11-24,13044,13574.36658886777
2023-11-25,14836,14253.582090463431
2023-11-26,14558,13777.499671409018
2023-11-27,13722,13097.058389605576
2023-11-28,14710,14585.183516734716
2023-11-29,14595,13469.289877508294
2023-11-30,14635,14038.728569364308
2023-12-01,11898,11809.366292492297
2023-12-02,13200,13262.3124025777
2023-12-03,13116,13478.24223643723
2023-12-04,15286,13956.374693029418
2023-12-05,13829,13682.498398844931
2023-12-06,14194,12868.263855880346
2023-12-07,11947,12902.231652664806
2023-12-08,13462,13457.507559258074
2023-12-09,11947,12730.710217086775
2023-12-10,12569,12490.027243701972
2023-12-11,11972,12975.751897366594
2023-12-12,14068,14360.320231467535
2023-12-13,14736,13994.878310277354
2023-12-14,15429,14321.329395876435
2023-12-15,14060,13856.646972652508
2023-12-16,13471,13493.840767700562
2023-12-17,14633,13920.090496283981
2023-12-18,13331,14220.208924284992
2023-12-19,11756,13290.840908837135
2023-12-20,14965,14216.97306336088
2023-12-21,12292,12886.197895079862
2023-12-22,14136,12937.853729827895
2023-12-23,13335,14388.326225389908
2023-12-24,13433,13342.566999977375
2023-12-25,12723,12584.66879825692
2023-12-26,15858,14577.341997098527
2023-12-27,13023,13144.762551802309
2023-12-28,16271,14335.281686901428
2023-12-29,13368,12944.663422128078
2023-12-30,13156,12670.422967769284
2023-12-31,11208,12302.321981811487
2024-01-01,13244,13110.910205468741
