Feature,Importance
Product ID_P0005,2.2753654624794515
Product ID_P0017,2.213814150250867
IsWeekend,2.084116017381722
Product ID_P0008,2.004892280011545
Product ID_P0003,1.62469727637215
Weather Condition_Sunny,1.276738169903082
Store ID_S005,1.241754205804713
Store ID_S004,1.1388159993324927
Store ID_S003,1.1153939779040212
Product ID_P0010,1.0887795647726044
Seasonality_Spring,1.0363761326277465
Category_Electronics,0.9078657712366625
Weather Condition_Rainy,0.8745352359252361
Product ID_P0020,0.7728354616816536
Product ID_P0007,0.7463290887085031
Product ID_P0015,0.6918144876344428
Product ID_P0004,0.6900131999730554
Weather Condition_Snowy,0.6707618588855838
Product ID_P0016,0.6582077857156372
Product ID_P0013,0.6390024096011158
Product ID_P0018,0.6310370917572948
Product ID_P0011,0.5883892404995509
Product ID_P0006,0.5882477499121681
Inventory Level,0.4968011533561167
Region_North,0.45953686082976963
Seasonality_Summer,0.38630932731761314
Year,0.30930629743780985
Region_West,0.3036285654743194
Product ID_P0009,0.2891413752732448
DayOfWeek,0.2824644004613373
Category_Furniture,0.25997963891336723
Product ID_P0014,0.24908725878178667
Store ID_S002,0.24197499662139413
Region_South,0.2371630685193326
Category_Toys,0.208769389350204
Product ID_P0002,0.1318554773258292
Product ID_P0012,0.1223649906206044
Product ID_P0019,0.11861778027600833
Category_Groceries,0.09789846299026209
Month,0.07708143584213664
Seasonality_Winter,0.046159572652129444
Price,0.03568455719552973
Holiday/Promotion,0.020936536231922914
Discount,0.019950779615298925
Competitor Pricing,0.010061566290143974
Day,0.009642705063229335
Units Ordered,0.009628368998750093
Lag_1,0.0019401070041791804
Lag_7,0.0008553715364503301
Rolling_7,0.00040879860147331537
