Group,Field,Gender,University,Semester
Web Development (Female) -  Group 3,Web Development,Female,Muhammad Ali Jinnah University,1st
Blue Team / SOC (Female) -  Group 2,Blue Team / SOC,Female,University of Engineering and Technology Lahore,1st completed
AI/ML (Male) -  Group 2,AI/ML,Male,Memon industrial and technical institute,2 year
Blue Team / SOC (Female) -  Group 2,Blue Team / SOC,Female,UET Taxila,2nd
Business & Management (Male) -  Group 1,Business & Management,Male,University Of Agriculture Swat,2nd
Web Development (Female) -  Group 3,Web Development,Female,Virtual University Of Pakistan,2nd 
Web Development (Female) -  Group 4,Web Development,Female,Institute of space technology Islamabad,2nd 
AI/ML (Male) -  Group 1,AI/ML,Male,Fast NUCES,2nd completed
Web Development (Male) -  Group 1,Web Development,Male,"Nust, MCS Rawalpindi campus",2nd completed
Web Development (Male) -  Group 2,Web Development,Male,National university of science and technology (NUST),2nd completed
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,COMSATS University Islamabad,3rd
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,Muhammad Ali Jinnah University,3rd
Accounts & Finance (Male) -  Group 1,Accounts & Finance,Male,London South bank University,3rd
Accounts & Finance (Male) -  Group 1,Accounts & Finance,Male,LUMS,3rd
Accounts & Finance (Male) -  Group 1,Accounts & Finance,Male,Muhammad Ali Jinnah University,3rd
AI/ML (Female) -  Group 1,AI/ML,Female,Szabist,3rd
AI/ML (Female) -  Group 1,AI/ML,Female,National Skills University,3rd
AI/ML (Female) -  Group 7,AI/ML,Female,Air University Islamabad,3rd
AI/ML (Female) -  Group 7,AI/ML,Female,Fast NUCES,3rd
AI/ML (Male) -  Group 4,AI/ML,Male,Muhammad Ali Jinnah University,3rd
Blue Team / SOC (Female) -  Group 2,Blue Team / SOC,Female,"Comsats University Islamabad, Lahore Campus",3rd
Business & Management (Female) -  Group 1,Business & Management,Female,NUST Islamabad,3rd
Data Science (Female) -  Group 1,Data Science,Female,Virtual University Of Pakistan,3rd
Data Science (Female) -  Group 2,Data Science,Female,PUCIT,3rd
Graphic Design & Video Editing (Female) -  Group 1,Graphic Design & Video Editing,Female,NED University,3rd
Marketing & Lead Generation (Male) -  Group 1,Marketing & Lead Generation,Male,Muhammad Ali Jinnah University,3rd
Marketing & Lead Generation (Male) -  Group 1,Marketing & Lead Generation,Male,Muhammad Ali Jinnah University,3rd
Red Teaming (Male) -  Group 2,Red Teaming,Male,Muhammad Ali Jinnah University,3rd
Red Teaming (Male) -  Group 2,Red Teaming,Male,NUST Islamabad,3rd
Red Teaming (Male) -  Group 3,Red Teaming,Male,University of Engineering and Technology Taxila,3rd
Web Development (Female) -  Group 5,Web Development,Female,PMAS ARID AGRICULTURE UNIVERSITY,3rd
Web Development (Male) -  Group 1,Web Development,Male,COMSATS University Islamabad,3rd
AI/ML (Male) -  Group 1,AI/ML,Male,National university of science and technology (NUST),3rd completed
Data Science (Female) -  Group 1,Data Science,Female,Muhammad Ali Jinnah University,3rd completed
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,Air University Kharian,4th
AI/ML (Female) -  Group 4,AI/ML,Female,University of Agriculture,4th
AI/ML (Male) -  Group 1,AI/ML,Male,Muhammad Ali Jinnah University,4th
AI/ML (Male) -  Group 1,AI/ML,Male,Air University Multan,4th
AI/ML (Male) -  Group 3,AI/ML,Male,Muhammad Ali Jinnah University,4th
Blue Team / SOC (Female) -  Group 1,Blue Team / SOC,Female,Air University Islamabad,4th
Blue Team / SOC (Male) -  Group 1,Blue Team / SOC,Male,Air University Kharian,4th
Business & Management (Female) -  Group 1,Business & Management,Female,Air University Kharian,4th
Business & Management (Female) -  Group 2,Business & Management,Female,Air University Kharian,4th
Business & Management (Male) -  Group 1,Business & Management,Male,Muhammad Ali Jinnah University,4th
Data Science (Female) -  Group 1,Data Science,Female,Virtual University Of Pakistan,4th
Data Science (Female) -  Group 1,Data Science,Female,Muhammad Ali Jinnah University,4th
Data Science (Female) -  Group 2,Data Science,Female,Air University Islamabad,4th
Data Science (Male) -  Group 1,Data Science,Male,COMSATS University Islamabad,4th
Data Science (Male) -  Group 1,Data Science,Male,Virtual University Of Pakistan,4th
Data Science (Male) -  Group 2,Data Science,Male,COMSATS University Islamabad,4th
Graphic Design & Video Editing (Female) -  Group 1,Graphic Design & Video Editing,Female,NUML university,4th
HR (Female) -  Group 1,HR,Female,COMSATS University Islamabad,4th
HR (Female) -  Group 1,HR,Female,Air University Islamabad,4th
Marketing & Lead Generation (Female) -  Group 1,Marketing & Lead Generation,Female,Air University Islamabad,4th
Red Teaming (Male) -  Group 3,Red Teaming,Male,FAST NUCES Islamabad,4th
Red Teaming (Male) -  Group 3,Red Teaming,Male,NUTECH,4th
Web Development (Female) -  Group 1,Web Development,Female,Muhammad Ali Jinnah University,4th
Web Development (Female) -  Group 3,Web Development,Female,Arid Agricultural University Rawalpindi,4th
Web Development (Male) -  Group 4,Web Development,Male,Air University Islamabad,4th
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,Szabist,4th completed
AI/ML (Female) -  Group 1,AI/ML,Female,COMSATS University Islamabad,4th completed
AI/ML (Female) -  Group 2,AI/ML,Female,FAST NUCES Islamabad,4th completed
AI/ML (Female) -  Group 6,AI/ML,Female,NUST,4th completed
AI/ML (Male) -  Group 2,AI/ML,Male,National university of science and technology (NUST),4th completed
Blue Team / SOC (Female) -  Group 1,Blue Team / SOC,Female,Air University Islamabad,4th completed
Business & Management (Female) -  Group 1,Business & Management,Female,MAO Graduate College Lahore,4th completed
Business & Management (Female) -  Group 2,Business & Management,Female,MAO Graduate College Lahore,4th completed
Business & Management (Female) -  Group 2,Business & Management,Female,NUTECH,4th completed
Data Science (Female) -  Group 1,Data Science,Female,Punjab University Lahore,4th completed
Data Science (Male) -  Group 1,Data Science,Male,Muhammad Ali Jinnah University,4th completed
Data Science (Male) -  Group 1,Data Science,Male,"Comsats University Islamabad, Lahore Campus",4th completed
HR (Female) -  Group 1,HR,Female,NUST Islamabad,4th completed
Red Teaming (Male) -  Group 1,Red Teaming,Male,Air University Islamabad,4th completed
Web Development (Female) -  Group 2,Web Development,Female,Szabist Karachi,4th completed
Web Development (Male) -  Group 3,Web Development,Male,Foundation University Islamabad,4th completed
Web Development (Male) -  Group 4,Web Development,Male,Khwaja fareed university of engineering and information technology,4th completed
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,Air University Islamabad,5th
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,Air University Kharian,5th
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,Muhammad Ali Jinnah University,5th
Accounts & Finance (Female) -  Group 1,Accounts & Finance,Female,Sukkur IBA,5th
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,Fast NUCES,5th
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,Fast NUCES,5th
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,International Islamic University Islamabad,5th
Accounts & Finance (Male) -  Group 1,Accounts & Finance,Male,Punjab University Lahore,5th
AI/ML (Female) -  Group 1,AI/ML,Female,COMSATS University Islamabad,5th
AI/ML (Female) -  Group 2,AI/ML,Female,Air University Islamabad,5th
AI/ML (Female) -  Group 3,AI/ML,Female,University of veterinary and animal sciences Lahore,5th
AI/ML (Female) -  Group 4,AI/ML,Female,Superior University Gold Campus Lahore,5th
AI/ML (Female) -  Group 4,AI/ML,Female,HITEC University Taxilla,5th
AI/ML (Female) -  Group 5,AI/ML,Female,Numl,5th
AI/ML (Female) -  Group 5,AI/ML,Female,"Comsats University Islamabad, Lahore Campus",5th
AI/ML (Female) -  Group 5,AI/ML,Female,International Islamic University Islamabad,5th
AI/ML (Female) -  Group 5,AI/ML,Female,Institute of Space Technology,5th
AI/ML (Male) -  Group 1,AI/ML,Male,COMSATS University Islamabad,5th
AI/ML (Male) -  Group 2,AI/ML,Male,COMSATS University Islamabad,5th
AI/ML (Male) -  Group 3,AI/ML,Male,Muhammad Ali Jinnah University,5th
AI/ML (Male) -  Group 4,AI/ML,Male,FAST NUCES Islamabad,5th
AI/ML (Male) -  Group 4,AI/ML,Male,"Comsats University Islamabad, Lahore Campus",5th
AI/ML (Male) -  Group 5,AI/ML,Male,HITMS (Hyderabad Institute For Technology and Management Sciences),5th
AI/ML (Male) -  Group 5,AI/ML,Male,"Nust, MCS Rawalpindi campus",5th
AI/ML (Male) -  Group 7,AI/ML,Male,Fast NUCES,5th
Blue Team / SOC (Female) -  Group 1,Blue Team / SOC,Female,COMSATS University Islamabad,5th
Blue Team / SOC (Female) -  Group 2,Blue Team / SOC,Female,COMSATS University Islamabad,5th
Blue Team / SOC (Female) -  Group 2,Blue Team / SOC,Female,Rawalpindi Women University,5th
Blue Team / SOC (Male) -  Group 2,Blue Team / SOC,Male,Air University Islamabad,5th
Business & Management (Female) -  Group 1,Business & Management,Female,Fast NUCES,5th
Business & Management (Male) -  Group 1,Business & Management,Male,Fast NUCES lahore,5th
Data Science (Male) -  Group 1,Data Science,Male,"Institute of Business Administration, IBA Karachi.",5th
Data Science (Male) -  Group 1,Data Science,Male,Muhammad Ali Jinnah University,5th
Data Science (Male) -  Group 2,Data Science,Male,Superior university,5th
Data Science (Male) -  Group 2,Data Science,Male,PMAS Arid Agriculture University Rawalpindi,5th
Data Science (Male) -  Group 2,Data Science,Male,Muhammad Ali Jinnah University,5th
Graphic Design & Video Editing (Female) -  Group 1,Graphic Design & Video Editing,Female,Air University Islamabad,5th
Graphic Design & Video Editing (Female) -  Group 1,Graphic Design & Video Editing,Female,Virtual University Of Pakistan,5th
Graphic Design & Video Editing (Male) -  Group 1,Graphic Design & Video Editing,Male,Air University Multan,5th
Graphic Design & Video Editing (Male) -  Group 1,Graphic Design & Video Editing,Male,Air University Multan,5th
Marketing & Lead Generation (Female) -  Group 1,Marketing & Lead Generation,Female,Foundation University,5th
Red Teaming (Female) -  Group 1,Red Teaming,Female,Riphah international university Islamabad,5th
Red Teaming (Female) -  Group 1,Red Teaming,Female,The University of Faisalabad,5th
Red Teaming (Female) -  Group 2,Red Teaming,Female,The University of Faisalabad,5th
Red Teaming (Female) -  Group 2,Red Teaming,Female,"Capital University of Science and Technology, Islamabad",5th
Red Teaming (Male) -  Group 1,Red Teaming,Male,"Comsats University Islamabad, Lahore Campus",5th
Red Teaming (Male) -  Group 1,Red Teaming,Male,Air University Islamabad,5th
Web Development (Female) -  Group 1,Web Development,Female,Riphah international University,5th
Web Development (Female) -  Group 1,Web Development,Female,Szabist,5th
Web Development (Female) -  Group 2,Web Development,Female,Szabist,5th
Web Development (Female) -  Group 2,Web Development,Female,Muhammad Ali Jinnah University,5th
Web Development (Female) -  Group 3,Web Development,Female,NUST,5th
Web Development (Female) -  Group 3,Web Development,Female,Ziauddin University Sukkur Campus,5th
Web Development (Female) -  Group 4,Web Development,Female,Air University Islamabad,5th
Web Development (Female) -  Group 4,Web Development,Female,Muhammad Ali Jinnah University,5th
Web Development (Female) -  Group 4,Web Development,Female,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology University Karachi,5th
Web Development (Female) -  Group 5,Web Development,Female,Government college University Faisalabad,5th
Web Development (Male) -  Group 2,Web Development,Male,COMSATS university Islamabad attock campus,5th
Web Development (Male) -  Group 4,Web Development,Male,Numl,5th
Web Development (Male) -  Group 4,Web Development,Male,Air University Islamabad,5th
Accounts & Finance (Male) -  Group 1,Accounts & Finance,Male,Salim Habib University,5th 
Data Science (Male) -  Group 2,Data Science,Male,Muhammad Ali Jinnah University,5th 
Web Development (Male) -  Group 3,Web Development,Male,Muhammad Ali Jinnah University,5th completed
Accounts & Finance (Female) -  Group 2,Accounts & Finance,Female,"Bahria University, Karachi Campus.",6th
Accounts & Finance (Male) -  Group 1,Accounts & Finance,Male,COMSATS University Islamabad,6th
AI/ML (Female) -  Group 1,AI/ML,Female,Rawalpindi Women University,6th
AI/ML (Female) -  Group 2,AI/ML,Female,Air University Islamabad,6th
AI/ML (Female) -  Group 3,AI/ML,Female,UET Taxila,6th
AI/ML (Female) -  Group 3,AI/ML,Female,SZABIST Islamabad,6th
